Fund_Name,Dept_Name,Account,Category,Budget,FID
GENERAL FUND,Surpluses & Balances,"Unreserved, Undesignated","Unreserved, Undesignated Surplus",15630847,1
GENERAL FUND,Real Property Tax Items,410010 School District Tax Buyout,Assessments,-2291695,2
GENERAL FUND,Real Property Tax Items,410020 Special Lighting Assessments,Assessments,261200,3
GENERAL FUND,Real Property Tax Items,410030 Assessable Improvements,Assessments,600000,4
GENERAL FUND,Real Property Tax Items,410040 Assessable Improvements Buyout,Assessments,-300000,5
GENERAL FUND,Real Property Tax Items,410810 PILOT - Non-Profit Houses,PILOT,1300000,6
GENERAL FUND,Real Property Tax Items,410830 PILOT - Ontrack,PILOT,5000,7
GENERAL FUND,Real Property Tax Items,410840 PILOT - SIDA,PILOT,3409904,8
GENERAL FUND,Real Property Tax Items,410850 PILOT - SU DOME,PILOT,100000,9
GENERAL FUND,Real Property Tax Items,410500 Prior Years' Tax Collection,Property Taxes and Fees,3394904,10
GENERAL FUND,Real Property Tax Items,410900 Fees & Penalties,Property Taxes and Fees,1833136,11
GENERAL FUND,Real Property Tax Items,425940 Light Works Infrastructure Payment,Property Taxes and Fees,500,12
GENERAL FUND,Real Property Tax Items,Less: Uncollected City Taxes - Current Year,Tax,-1160000,13
GENERAL FUND,Non-Property Tax Items,411100 Sales Tax,Sales Tax,112350000,14
GENERAL FUND,Non-Property Tax Items,411300 Utilities Gross Receipts Tax,Other Taxes,1700000,15
GENERAL FUND,Non-Property Tax Items,411700 CATV Franchise Fee,Other Taxes,1510000,16
GENERAL FUND,Non-Property Tax Items,411710 Right of Way Franchise Fee,Other Taxes,61000,17
GENERAL FUND,Non-Property Tax Items,425910 SU Service Agreement,Syracuse University,500000,18
GENERAL FUND,Non-Property Tax Items,425920 SU Service - Supplemental,Syracuse University,1500000,19
GENERAL FUND,Non-Property Tax Items,415900 SU DOME Traffic Reimbursement,Syracuse University,420000,20
GENERAL FUND,Finance,412300 Abstract Fees,Finance Fees,85000,21
GENERAL FUND,Finance,412310 Duplicate Tax Bill Fee,Finance Fees,15000,22
